name,set,collector_number,collected
Absolving Lammasu,MKM,2,2
Aftermath Analyst,MKM,148,4
Agency Coroner,MKM,75,4
Agency Outfitter,MKM,38,2
"Agrus Kos, Spirit of Justice",MKM,184,1
Airtight Alibi,MKM,149,4
A Killer Among Us,MKM,167,3
Alley Assailant,MKM,76,4
"Alquist Proft, Master Sleuth",MKM,185,0
Analyze the Pollen,MKM,150,1
Anzrag's Rampage,MKM,111,1
"Anzrag, the Quake-Mole",MKM,186,1
Archdruid's Charm,MKM,151,1
Assassin's Trophy,MKM,187,2
Assemble the Players,MKM,3,0
Audience with Trostani,MKM,152,3
Aurelia's Vindicator,MKM,4,0
"Aurelia, the Law Above",MKM,188,0
Auspicious Arrival,MKM,5,4
Axebane Ferox,MKM,153,2
Barbed Servitor,MKM,77,2
Basilica Stalker,MKM,78,4
Behind the Mask,MKM,39,4
Benthic Criminologists,MKM,40,4
Bite Down on Crime,MKM,154,4
Blood Spatter Analysis,MKM,189,2
Bolrac-Clan Basher,MKM,112,4
Branch of Vitu-Ghazi,MKM,258,2
Break Out,MKM,190,4
Bubble Smuggler,MKM,41,4
Burden of Proof,MKM,42,4
Buried in the Garden,MKM,191,4
Call a Surprise Witness,MKM,6,4
Candlestick,MKM,43,1
Case File Auditor,MKM,7,1
Case of the Burning Masks,MKM,113,2
Case of the Crimson Pulse,MKM,114,0
Case of the Filched Falcon,MKM,44,4
Case of the Gateway Express,MKM,8,3
Case of the Gorgon's Kiss,MKM,79,1
Case of the Locked Hothouse,MKM,155,1
Case of the Pilfered Proof,MKM,9,4
Case of the Ransacked Lab,MKM,45,1
Case of the Shattered Pact,MKM,1,2
Case of the Stashed Skeleton,MKM,80,2
Case of the Trampled Garden,MKM,156,4
Case of the Uneaten Feast,MKM,10,2
Caught Red-Handed,MKM,115,2
Cease // Desist,MKM,246,1
Cerebral Confiscation,MKM,81,4
Chalk Outline,MKM,157,3
Clandestine Meddler,MKM,82,4
Coerced to Kill,MKM,192,4
Cold Case Cracker,MKM,46,4
Commercial District,MKM,259,1
Concealed Weapon,MKM,117,2
Connecting the Dots,MKM,118,2
Conspiracy Unraveler,MKM,47,2
Convenient Target,MKM,119,4
Cornered Crook,MKM,120,4
Coveted Falcon,MKM,48,1
Crime Novelist,MKM,121,2
Crimestopper Sprite,MKM,49,4
Crowd-Control Warden,MKM,193,4
Cryptex,MKM,251,1
Cryptic Coat,MKM,50,1
Culvert Ambusher,MKM,158,2
Curious Cadaver,MKM,194,4
Curious Inquiry,MKM,51,3
Deadly Complication,MKM,195,4
Deadly Cover-Up,MKM,83,3
Deduce,MKM,52,4
Defenestrated Phantom,MKM,11,4
"Delney, Streetwise Lookout",MKM,12,0
Demand Answers,MKM,122,4
Detective's Satchel,MKM,196,1
Dog Walker,MKM,197,4
Doorkeeper Thrull,MKM,13,2
Doppelgang,MKM,198,2
Drag the Canal,MKM,199,3
Dramatic Accusation,MKM,53,4
Due Diligence,MKM,14,4
Elegant Parlor,MKM,260,0
Eliminate the Impossible,MKM,54,2
Escape Tunnel,MKM,261,2
Essence of Antiquity,MKM,15,2
"Etrata, Deadly Fugitive",MKM,200,1
Evidence Examiner,MKM,201,4
Exit Specialist,MKM,55,4
Expedited Inheritance,MKM,123,0
Expose the Culprit,MKM,124,4
Extract a Confession,MKM,84,4
"Ezrim, Agency Chief",MKM,202,1
Fae Flight,MKM,56,3
Faerie Snoop,MKM,203,4
Fanatical Strength,MKM,159,4
Felonious Rage,MKM,125,4
Festerleech,MKM,85,2
Flotsam // Jetsam,MKM,247,4
Flourishing Bloom-Kin,MKM,160,3
Forensic Gadgeteer,MKM,57,1
Forensic Researcher,MKM,58,4
Forum Familiar,MKM,16,1
Frantic Scapegoat,MKM,126,4
Fugitive Codebreaker,MKM,127,2
Furtive Courier,MKM,59,4
Fuss // Bother,MKM,248,4
Gadget Technician,MKM,204,4
Galvanize,MKM,128,4
Gearbane Orangutan,MKM,129,4
Get a Leg Up,MKM,161,4
Gleaming Geardrake,MKM,205,4
Glint Weaver,MKM,162,4
Goblin Maskmaker,MKM,130,4
Granite Witness,MKM,206,4
Gravestone Strider,MKM,252,4
Greenbelt Radical,MKM,163,2
Griffnaut Tracker,MKM,17,4
Haazda Vigilante,MKM,18,4
Hard-Hitting Question,MKM,164,3
Harried Dronesmith,MKM,131,2
Hedge Maze,MKM,262,1
Hedge Whisperer,MKM,165,3
Hide in Plain Sight,MKM,166,3
Homicide Investigator,MKM,86,1
Hotshot Investigators,MKM,60,4
Hunted Bonebrute,MKM,87,2
Hustle // Bustle,MKM,249,3
Illicit Masquerade,MKM,88,1
Ill-Timed Explosion,MKM,207,2
Incinerator of the Guilty,MKM,132,0
Innocent Bystander,MKM,133,3
Inside Source,MKM,19,4
Insidious Roots,MKM,208,1
Intrude on the Mind,MKM,61,2
It Doesn't Add Up,MKM,89,3
"Izoni, Center of the Web",MKM,209,1
Jaded Analyst,MKM,62,4
"Judith, Carnage Connoisseur",MKM,210,2
Karlov Watchdog,MKM,20,4
"Kaya, Spirits' Justice",MKM,211,0
"Kellan, Inquisitive Prodigy // Tail the Suspect",MKM,212,0
Knife,MKM,134,4
Kraul Whipcracker,MKM,213,2
"Krenko, Baron of Tin Street",MKM,135,1
Krenko's Buzzcrusher,MKM,136,3
Krovod Haunch,MKM,21,4
Kylox's Voltstrider,MKM,215,1
"Kylox, Visionary Inventor",MKM,214,1
Lamplight Phoenix,MKM,137,1
"Lazav, Wearer of Faces",MKM,216,1
Lead Pipe,MKM,90,4
Leering Onlooker,MKM,91,0
Leyline of the Guildpact,MKM,217,1
Lightning Helix,MKM,218,4
Living Conundrum,MKM,63,3
Long Goodbye,MKM,92,4
Lost in the Maze,MKM,64,2
Loxodon Eavesdropper,MKM,168,4
Lumbering Laundry,MKM,253,1
Lush Portico,MKM,263,1
Macabre Reconstruction,MKM,93,4
Magnetic Snuffler,MKM,254,4
Magnifying Glass,MKM,255,4
Makeshift Binding,MKM,23,4
Make Your Move,MKM,22,4
Marketwatch Phantom,MKM,24,4
"Massacre Girl, Known Killer",MKM,94,0
Meddling Youths,MKM,219,3
Meticulous Archive,MKM,264,2
Mistway Spy,MKM,65,1
Murder,MKM,95,4
Museum Nightwatch,MKM,25,4
Neighborhood Guardian,MKM,26,4
Nervous Gardener,MKM,169,4
Nightdrinker Moroii,MKM,96,2
"Niv-Mizzet, Guildpact",MKM,220,1
No More Lies,MKM,221,4
Not on My Watch,MKM,28,4
Novice Inspector,MKM,29,4
No Witnesses,MKM,27,4
Offender at Large,MKM,138,4
Officious Interrogation,MKM,222,2
On the Job,MKM,30,4
Out Cold,MKM,66,4
Outrageous Robbery,MKM,97,2
Perimeter Enforcer,MKM,31,4
Person of Interest,MKM,139,4
Persuasive Interrogators,MKM,98,4
Pick Your Poison,MKM,170,4
Polygraph Orb,MKM,99,4
Pompous Gadabout,MKM,171,3
Presumed Dead,MKM,100,3
Private Eye,MKM,223,4
Proft's Eidetic Memory,MKM,67,0
Projektor Inspector,MKM,68,4
Public Thoroughfare,MKM,265,4
Push // Pull,MKM,250,0
Pyrotechnic Performer,MKM,140,2
"Rakdos, Patron of Chaos",MKM,224,2
Rakish Scoundrel,MKM,225,4
Raucous Theater,MKM,266,2
Reasonable Doubt,MKM,69,4
Reckless Detective,MKM,141,3
Red Herring,MKM,142,4
Reenact the Crime,MKM,70,2
Relive the Past,MKM,226,3
Repeat Offender,MKM,101,4
Repulsive Mutation,MKM,227,4
Riftburst Hellion,MKM,228,4
Rope,MKM,173,4
Rot Farm Mortipede,MKM,102,4
Rubblebelt Braggart,MKM,143,4
Rubblebelt Maverick,MKM,174,4
Rune-Brand Juggler,MKM,229,2
Sample Collector,MKM,175,4
Sanctuary Wall,MKM,32,4
Sanguine Savior,MKM,230,4
Sanitation Automaton,MKM,256,4
Scene of the Crime,MKM,267,0
Seasoned Consultant,MKM,33,4
Shadowy Backstreet,MKM,268,1
Shady Informant,MKM,231,4
Sharp-Eyed Rookie,MKM,176,3
Shock,MKM,144,4
Slice from the Shadows,MKM,103,4
Slime Against Humanity,MKM,177,4
Slimy Dualleech,MKM,104,1
Snarling Gorehound,MKM,105,4
Soul Enervation,MKM,106,4
Soul Search,MKM,232,3
Steamcore Scholar,MKM,71,3
Sudden Setback,MKM,72,2
Sumala Sentry,MKM,233,4
Surveillance Monitor,MKM,73,2
Suspicious Detonation,MKM,145,4
Tenth District Hero,MKM,34,1
"Teysa, Opulent Oligarch",MKM,234,0
The Chase Is On,MKM,116,4
The Pride of Hull Clade,MKM,172,1
They Went This Way,MKM,178,4
Thinking Cap,MKM,257,4
Thundering Falls,MKM,269,1
Tin Street Gossip,MKM,235,1
"Tolsimir, Midnight's Light",MKM,236,2
Topiary Panther,MKM,179,4
Torch the Witness,MKM,146,4
Toxin Analysis,MKM,107,4
Treacherous Greed,MKM,237,0
"Trostani, Three Whispers",MKM,238,2
Tunnel Tipster,MKM,180,4
Unauthorized Exit,MKM,74,4
Undercity Eliminator,MKM,108,2
Undercity Sewers,MKM,270,0
Undercover Crocodelf,MKM,239,4
Underground Mortuary,MKM,271,0
